0.002518,-0.001648,0.327515,0.191852,0.103343,0.314461,0.193097,-0.105063,0.332630,-0.188061,0.101767,0.322401,-0.186817,-0.106639,0.340570,0.181972,0.133312,0.135584,0.176416,-0.166583,0.151439,-0.182686,0.130371,0.126831,-0.183714,-0.167233,0.168639
0.003632,-0.003120,0.311067,0.191849,0.103464,0.295094,0.195202,-0.104725,0.315365,-0.187939,0.098484,0.306769,-0.184586,-0.109705,0.327039,0.141168,0.129441,0.101216,0.154178,-0.169523,0.125705,-0.183179,0.124041,0.099405,-0.193338,-0.174268,0.134456
0.003860,-0.004562,0.291640,0.190410,0.104642,0.273897,0.196893,-0.103402,0.294881,-0.189172,0.094277,0.288399,-0.182689,-0.113767,0.309383,0.124501,0.127240,0.065189,0.118060,-0.172415,0.088126,-0.179581,0.118159,0.069095,-0.195655,-0.182066,0.089358
0.003418,-0.006081,0.269011,0.188091,0.106108,0.250281,0.198009,-0.101855,0.270722,-0.191173,0.089693,0.267300,-0.181255,-0.118269,0.287742,0.125624,0.126567,0.023593,0.085255,-0.174736,0.049106,-0.175018,0.113233,0.033811,-0.196042,-0.188721,0.043313
0.002495,-0.008751,0.245480,0.186514,0.104486,0.226629,0.197611,-0.103459,0.246631,-0.192621,0.085957,0.244329,-0.181524,-0.121988,0.264331,0.124776,0.126617,0.015595,0.070931,-0.178129,0.015985,-0.173648,0.110697,0.015642,-0.195464,-0.192360,0.015822
0.003525,-0.011230,0.232843,0.187593,0.102198,0.215695,0.198675,-0.105861,0.234495,-0.191625,0.083400,0.231191,-0.180544,-0.124659,0.249991,0.124479,0.126466,0.015716,0.070362,-0.178142,0.015948,-0.172956,0.110627,0.015756,-0.194302,-0.192264,0.015671
0.006241,-0.012482,0.225709,0.190316,0.101195,0.210382,0.201471,-0.106921,0.228487,-0.188989,0.081958,0.222931,-0.177835,-0.126159,0.241036,0.124540,0.126416,0.015649,0.080812,-0.177569,0.015892,-0.179604,0.110138,0.015905,-0.193501,-0.192272,0.015877
0.009781,-0.012917,0.218336,0.193862,0.100820,0.203532,0.205032,-0.107294,0.221652,-0.185470,0.081461,0.215020,-0.174301,-0.126653,0.233140,0.124619,0.126430,0.015624,0.096712,-0.176504,0.018266,-0.193381,0.110327,0.026704,-0.192780,-0.192240,0.015982
0.013855,-0.013031,0.210347,0.197951,0.100662,0.195390,0.209096,-0.107423,0.213858,-0.181386,0.081361,0.206837,-0.170241,-0.126724,0.225305,0.124784,0.126482,0.015620,0.108534,-0.175513,0.022191,-0.200928,0.111118,0.039064,-0.191984,-0.192158,0.016002
0.018196,-0.013161,0.202499,0.202314,0.100477,0.187390,0.213421,-0.107577,0.206229,-0.177029,0.081255,0.198768,-0.165922,-0.126798,0.217607,0.124989,0.126497,0.015632,0.119112,-0.174573,0.026643,-0.199018,0.112243,0.049246,-0.191187,-0.192105,0.015971
0.022697,-0.013527,0.195631,0.206816,0.100157,0.180886,0.217938,-0.107897,0.199721,-0.172543,0.080843,0.191540,-0.161422,-0.127210,0.210376,0.125290,0.126545,0.015704,0.131429,-0.173433,0.031696,-0.189055,0.113478,0.056973,-0.190424,-0.192065,0.015924
0.027481,-0.014244,0.190363,0.211592,0.099577,0.176617,0.222756,-0.108519,0.194944,-0.167794,0.080031,0.185783,-0.156630,-0.128065,0.204110,0.125679,0.126497,0.015810,0.146931,-0.172243,0.036384,-0.173717,0.114413,0.060985,-0.189686,-0.192107,0.015887
