0.0000,0.4391,0.0000,0.0000,0.4391,0.0000,0.0282,0.4656,0.1860,0.0366,0.4744,0.4108,0.0586,0.4285,0.5412,0.0554,0.3553,0.6946,0.0795,0.4429,0.3842,0.1219,0.4057,0.4409,0.0996,0.2566,0.4606,0.0570,0.1854,0.6181,0.0497,0.1599,0.6850,-0.0064,0.4405,0.3875,-0.0473,0.3898,0.4339,-0.0862,0.2463,0.4025,-0.0601,0.0791,0.4577,-0.0399,0.0199,0.4934,0.0350,0.3569,-0.0615,0.0813,0.2294,0.0233,0.0348,0.1722,-0.1409,0.0224,0.0665,-0.1593,-0.0594,0.3606,-0.0455,-0.0596,0.2111,0.0114,-0.0826,0.1626,-0.1604,-0.0954,0.0823,-0.2315,-0.0117,0.4275,-0.0667,-0.0608,0.3439,-0.1375,-0.0994,0.2484,-0.1991
0.0141,0.4399,0.0760,0.0141,0.4399,0.0760,0.0451,0.4564,0.2627,0.0406,0.4481,0.4876,0.0685,0.4199,0.6219,0.0683,0.3594,0.7807,0.0841,0.4174,0.4612,0.1234,0.3783,0.5188,0.1011,0.2279,0.5194,0.0459,0.1370,0.6622,0.0234,0.1081,0.7242,-0.0019,0.4174,0.4595,-0.0445,0.3595,0.4944,-0.0991,0.2470,0.4080,-0.0551,0.0781,0.4429,-0.0316,0.0232,0.4832,0.0489,0.3531,0.0211,0.0940,0.2464,0.1314,0.0496,0.1748,-0.0276,0.0375,0.0683,-0.0140,-0.0459,0.3607,0.0328,-0.0565,0.2276,0.1210,-0.0683,0.1775,-0.0515,-0.0819,0.0803,-0.0967,0.0047,0.4246,0.0096,-0.0554,0.3435,-0.0552,-0.1041,0.2480,-0.1092
0.0269,0.4403,0.1542,0.0269,0.4403,0.1542,0.0549,0.4503,0.3418,0.0455,0.4215,0.5648,0.0777,0.4166,0.7010,0.0726,0.3717,0.8649,0.0886,0.3919,0.5364,0.1252,0.3480,0.5924,0.1092,0.2028,0.5506,0.0410,0.0860,0.6663,0.0257,0.0438,0.7226,0.0027,0.3949,0.5332,-0.0416,0.3333,0.5586,-0.0864,0.2496,0.4399,-0.0469,0.0762,0.4472,-0.0250,0.0190,0.4851,0.0619,0.3482,0.1090,0.1086,0.2650,0.2375,0.0628,0.1659,0.0944,0.0588,0.0650,0.1328,-0.0331,0.3581,0.1168,-0.0484,0.2472,0.2311,-0.0561,0.1911,0.0602,-0.0602,0.0834,0.0526,0.0193,0.4188,0.0893,-0.0506,0.3430,0.0280,-0.1116,0.2516,-0.0202
0.0387,0.4395,0.2323,0.0387,0.4395,0.2323,0.0634,0.4431,0.4207,0.0536,0.3990,0.6412,0.0866,0.4146,0.7763,0.0835,0.4007,0.9457,0.0960,0.3705,0.6106,0.1325,0.3200,0.6608,0.1286,0.1973,0.5713,0.0320,0.0623,0.6354,0.0019,0.0337,0.6943,0.0102,0.3757,0.6079,-0.0357,0.3133,0.6279,-0.0693,0.2557,0.4912,-0.0402,0.0832,0.4583,-0.0233,0.0199,0.4882,0.0734,0.3419,0.2002,0.1248,0.2790,0.3381,0.0745,0.1497,0.2235,0.0763,0.0628,0.2877,-0.0216,0.3535,0.2051,-0.0384,0.2673,0.3388,-0.0431,0.2045,0.1702,-0.0446,0.0991,0.1937,0.0319,0.4097,0.1707,-0.0451,0.3420,0.1084,-0.1183,0.2590,0.0620
0.0489,0.4375,0.3087,0.0489,0.4375,0.3087,0.0732,0.4370,0.4971,0.0687,0.3867,0.7165,0.0953,0.4177,0.8503,0.0948,0.4397,1.0189,0.1099,0.3586,0.6840,0.1472,0.3040,0.7291,0.1316,0.2046,0.6153,0.0276,0.0631,0.6450,0.0013,0.0272,0.7015,0.0241,0.3649,0.6837,-0.0250,0.3059,0.7063,-0.0543,0.2533,0.5667,-0.0384,0.0945,0.4880,-0.0246,0.0241,0.4943,0.0845,0.3367,0.2909,0.1414,0.2887,0.4325,0.0884,0.1331,0.3590,0.0901,0.0620,0.4402,-0.0105,0.3476,0.2965,-0.0269,0.2848,0.4427,-0.0319,0.2070,0.2804,-0.0348,0.1127,0.3330,0.0411,0.3986,0.2526,-0.0384,0.3390,0.1852,-0.1205,0.2665,0.1362
0.0572,0.4338,0.3843,0.0572,0.4338,0.3843,0.0852,0.4254,0.5720,0.0871,0.3854,0.7935,0.1065,0.4261,0.9260,0.1022,0.4748,1.0888,0.1263,0.3547,0.7610,0.1646,0.2960,0.7996,0.1350,0.2110,0.6771,0.0293,0.0700,0.6519,0.0007,0.0273,0.7022,0.0408,0.3634,0.7633,-0.0110,0.3091,0.7911,-0.0353,0.2355,0.6603,-0.0375,0.1018,0.5428,-0.0278,0.0374,0.5122,0.0922,0.3314,0.3783,0.1512,0.2930,0.5219,0.1067,0.1211,0.4928,0.1048,0.0581,0.5805,-0.0025,0.3433,0.3868,-0.0160,0.3024,0.5409,-0.0240,0.1990,0.3937,-0.0254,0.1229,0.4703,0.0469,0.3878,0.3342,-0.0290,0.3343,0.2582,-0.1141,0.2717,0.2012
0.0649,0.4280,0.4599,0.0649,0.4280,0.4599,0.0983,0.4159,0.6466,0.1056,0.3889,0.8699,0.1153,0.4380,1.0006,0.1015,0.5074,1.1552,0.1436,0.3559,0.8383,0.1814,0.2950,0.8738,0.1377,0.2099,0.7557,0.0420,0.0824,0.6765,0.0051,0.0293,0.7080,0.0583,0.3657,0.8423,0.0066,0.3153,0.8767,-0.0173,0.2318,0.7519,-0.0385,0.1092,0.6246,-0.0255,0.0643,0.5699,0.0980,0.3248,0.4584,0.1551,0.2871,0.6030,0.1151,0.1119,0.5946,0.1113,0.0454,0.6797,0.0040,0.3389,0.4704,-0.0042,0.3190,0.6290,-0.0171,0.1827,0.5122,-0.0142,0.1222,0.6016,0.0516,0.3794,0.4131,-0.0151,0.3293,0.3268,-0.0957,0.2729,0.2581
0.0726,0.4203,0.5280,0.0726,0.4203,0.5280,0.1030,0.4123,0.7154,0.1194,0.3960,0.9393,0.1204,0.4545,1.0664,0.0944,0.5303,1.2164,0.1565,0.3618,0.9078,0.1947,0.3023,0.9452,0.1378,0.2140,0.8354,0.0627,0.0943,0.7272,0.0208,0.0357,0.7259,0.0713,0.3711,0.9147,0.0213,0.3245,0.9563,-0.0289,0.2537,0.8315,-0.0090,0.1023,0.7400,0.0162,0.0722,0.6797,0.1034,0.3164,0.5265,0.1578,0.2595,0.6658,0.1116,0.0869,0.6437,0.1090,0.0105,0.7200,0.0103,0.3327,0.5416,0.0066,0.3282,0.7015,-0.0084,0.1635,0.6305,0.0031,0.1130,0.7252,0.0567,0.3716,0.4823,0.0026,0.3227,0.3869,-0.0666,0.2681,0.3055
0.0829,0.4093,0.5947,0.0829,0.4093,0.5947,0.1021,0.4014,0.7836,0.1275,0.4012,1.0072,0.1257,0.4677,1.1304,0.0926,0.5360,1.2826,0.1634,0.3648,0.9768,0.2028,0.3089,1.0182,0.1459,0.2198,0.9090,0.0855,0.0947,0.7977,0.0438,0.0474,0.7630,0.0785,0.3746,0.9864,0.0300,0.3338,1.0352,-0.0463,0.2588,0.9272,0.0336,0.1061,0.8827,0.0668,0.1037,0.8189,0.1100,0.3046,0.5883,0.1558,0.2122,0.7106,0.1004,0.0620,0.6283,0.0951,0.0030,0.7186,0.0177,0.3234,0.6056,0.0184,0.3217,0.7656,0.0035,0.1449,0.7356,0.0254,0.0875,0.8244,0.0645,0.3632,0.5472,0.0236,0.3136,0.4458,-0.0298,0.2566,0.3548
0.0945,0.3967,0.6674,0.0945,0.3967,0.6674,0.1117,0.3902,0.8565,0.1342,0.4079,1.0798,0.1354,0.4778,1.2010,0.1007,0.5325,1.3582,0.1708,0.3695,1.0527,0.2111,0.3184,1.0993,0.1839,0.2413,0.9712,0.1024,0.1003,0.8994,0.0740,0.0669,0.8422,0.0857,0.3793,1.0605,0.0373,0.3447,1.1140,-0.0408,0.2631,1.0123,0.0753,0.1289,1.0263,0.1159,0.1219,0.9673,0.1162,0.2917,0.6511,0.1568,0.1734,0.7508,0.0887,0.0636,0.6255,0.0909,0.0043,0.7157,0.0249,0.3135,0.6700,0.0349,0.2953,0.8287,0.0242,0.1159,0.8180,0.0496,0.0405,0.8910,0.0741,0.3562,0.6157,0.0462,0.3052,0.5107,0.0111,0.2429,0.4143
0.1061,0.3870,0.7355,0.1061,0.3870,0.7355,0.1233,0.3835,0.9247,0.1413,0.4179,1.1464,0.1441,0.4855,1.2690,0.1062,0.5273,1.4293,0.1791,0.3784,1.1229,0.2211,0.3345,1.1749,0.2210,0.2605,1.0421,0.1162,0.1171,1.0299,0.1010,0.0899,0.9650,0.0937,0.3871,1.1284,0.0452,0.3576,1.1848,-0.0162,0.2594,1.0863,0.1089,0.1622,1.1675,0.1598,0.1425,1.1205,0.1243,0.2837,0.7081,0.1661,0.1506,0.7863,0.0920,0.0728,0.6419,0.0884,0.0030,0.7243,0.0336,0.3067,0.7286,0.0557,0.2509,0.8769,0.0449,0.0745,0.8428,0.0711,-0.0045,0.9116,0.0848,0.3531,0.6796,0.0682,0.3009,0.5728,0.0511,0.2336,0.4749
0.1159,0.3747,0.7994,0.1159,0.3747,0.7994,0.1317,0.3793,0.9887,0.1488,0.4311,1.2070,0.1530,0.4910,1.3335,0.1127,0.5190,1.4963,0.1875,0.3909,1.1866,0.2323,0.3560,1.2430,0.2586,0.2720,1.1191,0.1444,0.1455,1.1705,0.1262,0.1150,1.1079,0.1020,0.3979,1.1916,0.0549,0.3706,1.2503,0.0150,0.2470,1.1713,0.1295,0.1972,1.2982,0.1907,0.1609,1.2873,0.1336,0.2759,0.7585,0.1725,0.1329,0.8188,0.0986,0.0945,0.6592,0.0905,0.0076,0.7229,0.0430,0.2965,0.7816,0.0685,0.2012,0.9075,0.0544,0.0494,0.8119,0.0841,-0.0071,0.8990,0.0947,0.3488,0.7394,0.0865,0.2954,0.6322,0.0856,0.2244,0.5355
