1.203151,0.041927,1.446312,0.036995,0.176719,1.307858,-0.681690,0.118852,1.329594,0.680659,0.301629,-0.005123,0.021624,-0.035647,0.052709,-0.927468,0.257587,-0.017792,-0.337416,0.018126,0.043154
1.218691,0.039782,1.445215,0.050621,0.176974,1.308110,-0.669519,0.118223,1.325343,0.682532,0.301541,-0.005365,0.055203,-0.038987,0.059532,-0.925604,0.257439,-0.017969,-0.291755,0.014211,0.045626
1.234408,0.037627,1.444051,0.064242,0.177248,1.308272,-0.657181,0.117381,1.320812,0.684611,0.301428,-0.005588,0.091363,-0.041384,0.062647,-0.923548,0.257208,-0.018135,-0.246870,0.009566,0.048184
1.250261,0.035415,1.442855,0.077866,0.177505,1.308375,-0.644596,0.116423,1.316140,0.686856,0.301246,-0.005780,0.129626,-0.043341,0.063472,-0.921366,0.256953,-0.018239,-0.203335,0.004162,0.050510
1.266195,0.033140,1.441658,0.091497,0.177731,1.308441,-0.631658,0.115405,1.311450,0.689184,0.301001,-0.005957,0.169732,-0.045196,0.063665,-0.919095,0.256698,-0.018273,-0.161495,-0.001866,0.052285
1.282144,0.030843,1.440485,0.105130,0.177932,1.308478,-0.618268,0.114326,1.306814,0.691500,0.300730,-0.006152,0.211344,-0.046908,0.064210,-0.916745,0.256479,-0.018260,-0.121457,-0.008187,0.053294
1.298045,0.028589,1.439360,0.118762,0.178122,1.308484,-0.604381,0.113175,1.302254,0.693744,0.300491,-0.006393,0.253867,-0.048152,0.065291,-0.914354,0.256375,-0.018218,-0.083207,-0.014373,0.053504
1.313854,0.026464,1.438303,0.132405,0.178331,1.308444,-0.590037,0.112000,1.297735,0.695889,0.300367,-0.006651,0.296514,-0.048561,0.066621,-0.912020,0.256389,-0.018199,-0.046703,-0.020094,0.053098
1.329543,0.024537,1.437331,0.146085,0.178603,1.308341,-0.575336,0.110895,1.293194,0.697924,0.300437,-0.006861,0.338687,-0.047850,0.067813,-0.909856,0.256418,-0.018293,-0.011937,-0.025220,0.052350
1.345084,0.022813,1.436457,0.159823,0.178941,1.308161,-0.560400,0.109915,1.288587,0.699837,0.300691,-0.007006,0.380230,-0.045809,0.068591,-0.907935,0.256422,-0.018514,0.020946,-0.029743,0.051325
1.360426,0.021215,1.435700,0.173622,0.179295,1.307891,-0.545341,0.109032,1.283918,0.701621,0.301027,-0.007146,0.421269,-0.042306,0.068839,-0.906284,0.256500,-0.018721,0.051557,-0.033691,0.049710
1.375505,0.019627,1.435086,0.187466,0.179605,1.307527,-0.530248,0.108176,1.279225,0.703255,0.301335,-0.007342,0.461962,-0.037324,0.068529,-0.904910,0.256728,-0.018770,0.079360,-0.037121,0.046923
1.390253,0.017949,1.434648,0.201334,0.179842,1.307062,-0.515185,0.107272,1.274558,0.704706,0.301559,-0.007587,0.502420,-0.031006,0.067681,-0.903834,0.257062,-0.018668,0.103859,-0.040190,0.042352
1.404602,0.016135,1.434424,0.215208,0.180036,1.306497,-0.500192,0.106252,1.269953,0.705901,0.301667,-0.007810,0.542751,-0.023629,0.066372,-0.903062,0.257356,-0.018523,0.124761,-0.043116,0.035601
1.418493,0.014218,1.434458,0.229061,0.180268,1.305836,-0.485297,0.105092,1.265415,0.706735,0.301632,-0.007941,0.583036,-0.015507,0.064768,-0.902555,0.257413,-0.018470,0.142087,-0.046004,0.026791
